ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TAXI_DIST	TRANSIT_COST	FREE_COST	av1	av2	av3	av4	HYPERP
83	1	38.7	33.72320494	42.6666666667	1.0	0	1	38.7	7.478709677	7.75	0	1	1	1	0	6.5478667916
84	1	60.0	68.01877277	67.4333333333	0.0	1	0	60.0	19.02941967	7.75	0	1	1	1	0	8.10790665067
85	1	25.0	40.42082408	61.2333333333	1.0	1	0	25.0	11.19333333	7.75	0	1	1	1	0	0.901678677461
86	1	20.0	51.49745749	90.65	0.0	1	0	20.0	14.18875	7.75	0	1	1	1	0	0.619213835669
87	1	25.0	51.49745749	90.65	1.0	1	0	25.0	14.18875	7.75	0	1	1	1	0	0.66637406687
88	1	38.7	49.48759994	73.55	0.0	0	1	38.7	14.01	7.75	0	1	1	1	0	1.19763557934
89	1	44.0	66.09756196	56.4166666667	0.0	0	0	44.0	18.17986865	7.75	0	1	1	1	0	4.69913250685
90	1	20.0	65.48658724	75.3666666667	0.0	1	0	20.0	13.1650165	7.75	0	1	1	1	0	1.04280410427
91	1	30.0	68.50849737	79.6333333333	0.0	0	0	30.0	20.21110345	7.75	0	1	1	1	0	1.22414702559
92	1	45.0	68.50849737	79.6333333333	0.0	0	0	45.0	20.21110345	7.75	0	1	1	1	0	1.75433582397
93	1	50.0	66.69592392	58.0833333333	1.0	0	0	50.0	17.90852555	7.75	0	1	1	1	0	7.29227924784
94	1	50.0	66.69592392	58.0833333333	0.0	0	0	50.0	17.90852555	7.75	0	1	1	1	0	7.29227924784
95	1	120.0	66.69592392	58.0833333333	1.0	0	0	120.0	17.90852555	7.75	0	1	1	1	0	-0.952020305572
96	1	25.0	66.69592392	58.0833333333	0.0	0	1	25.0	17.90852555	7.75	0	1	1	1	0	1.7817407734
97	1	100.0	66.69592392	58.0833333333	1.0	0	1	100.0	17.90852555	7.75	0	1	1	1	0	-1.40626458656
98	1	60.0	66.69592392	58.0833333333	1.0	0	0	60.0	17.90852555	7.75	0	1	1	1	0	-30.7543950887
99	1	30.0	66.69592392	58.0833333333	1.0	0	0	30.0	17.90852555	7.75	0	1	1	1	0	2.09896464997
100	1	50.0	66.69592392	58.0833333333	1.0	1	0	50.0	17.90852555	7.75	0	1	1	1	0	7.29227924784
101	1	60.0	66.69592392	58.0833333333	1.0	0	0	60.0	17.90852555	7.75	0	1	1	1	0	-30.7543950887
102	1	25.0	68.52328677	72.2166666667	0.0	0	0	25.0	18.58254072	7.75	0	1	1	1	0	1.28711514515
103	1	40.0	68.52328677	72.2166666667	1.0	0	0	40.0	18.58254072	7.75	0	1	1	1	0	1.88639276058
104	1	45.0	68.52328677	72.2166666667	1.0	0	0	45.0	18.58254072	7.75	0	1	1	1	0	2.23294378824
105	1	20.0	46.05232605	64.05	0.0	0	0	20.0	11.7352381	7.75	0	1	1	1	0	0.869519320091
106	1	50.0	67.82537809	60.8333333333	1.0	0	0	50.0	18.0158923	7.75	0	1	1	1	0	5.545419516
107	1	40.0	67.82537809	60.8333333333	0.0	0	0	40.0	18.0158923	7.75	0	1	1	1	0	2.88361814832
108	1	60.0	67.82537809	60.8333333333	0.0	1	0	60.0	18.0158923	7.75	0	1	1	1	0	72.090453708
109	1	35.0	67.82537809	60.8333333333	0.0	0	0	35.0	18.0158923	7.75	0	1	1	1	0	2.32549850671
110	1	30.0	67.82537809	60.8333333333	1.0	0	0	30.0	18.0158923	7.75	0	1	1	1	0	1.94839064076
111	1	38.7	67.82537809	60.8333333333	1.0	1	0	38.7	18.0158923	7.75	0	1	1	1	0	2.71424901009
112	1	45.0	63.96542118	63.7833333333	1.0	1	0	45.0	19.71915066	7.75	0	1	1	1	0	2.99283520035
113	1	45.0	61.66907149	55.0166666667	0.0	0	1	45.0	15.81127273	7.75	0	1	1	1	0	5.38293558968
114	1	50.0	55.47388975	67.5166666667	0.0	0	0	50.0	15.70976744	7.75	0	1	1	1	0	2.72448466698
115	1	70.0	68.17891774	62.2333333333	0.0	1	0	70.0	16.79939338	7.75	0	1	1	1	0	-7.7805473485
116	1	45.0	68.17891774	62.2333333333	0.0	0	0	45.0	16.79939338	7.75	0	1	1	1	0	3.50651360193
117	1	60.0	68.17891774	62.2333333333	1.0	0	0	60.0	16.79939338	7.75	0	1	1	1	0	27.0577243612
118	1	45.0	68.17891774	62.2333333333	1.0	0	0	45.0	16.79939338	7.75	0	1	1	1	0	3.50651360193
