ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	av1	av2	av3
219	3	37.61	50.66	55.13	1	1	1
221	3	38.3	65.46	101.33	1	1	1
275	3	7.91	12.3	51.48	1	1	1
122	2	38.82	53.9	77.08	1	1	1
349	3	34.49	46.5	95.38	1	1	1
360	1	39.88	57.58	74.75	1	1	1
210	3	16.15	23.29	38.62	1	1	1
111	2	39.88	57.58	74.75	1	1	1
303	3	26.1	41.6	73.55	1	1	1
244	3	38.81	61.36	99.77	1	1	1
318	1	47.17	53.77	63.78	1	1	1
240	3	23.01	31.6	50.53	1	1	1
395	3	37.91	57.5	66.83	1	1	1
174	2	18.3	37.41	40.57	1	1	1
83	2	45.33	53.72	72.52	1	1	1
45	3	39.09	50.48	76.72	1	1	1
2	3	35.06	57.6	72.22	1	1	1
257	3	34.47	48.58	78.98	1	1	1
109	2	46.91	57.2	65.05	1	1	1
345	3	14.44	28.35	42.67	1	1	1
182	2	37.34	59.8	88	1	1	1
37	3	36.83	57.4	69.77	1	1	1
389	1	45.23	57.35	75.12	1	1	1
381	3	7.91	12.3	51.48	1	1	1
126	2	47.26	53.48	72.18	1	1	1
112	2	39.88	57.58	74.75	1	1	1
14	3	49.08	54.5	71.12	1	1	1
180	2	42.61	57.57	76.6	1	1	1
411	3	19.29	30.5	59.12	1	1	1
36	3	36.64	57.92	78.7	1	1	1
67	2	47.49	57.02	60.83	1	1	1
380	3	40.19	57.31	62.23	1	1	1
82	2	16.15	23.29	38.62	1	1	1
343	3	34.88	46.33	70.42	1	1	1
31	3	16.59	27.75	71.28	1	1	1
231	3	38.82	53.9	77.08	1	1	1
290	3	29.52	44.33	76.78	1	1	1
198	3	46.38	57.4	50.02	1	1	1
200	3	49.68	55.74	72.33	1	1	1
378	3	46.38	57.4	50.02	1	1	1
394	1	41.98	57.39	66.68	1	1	1
207	3	28.72	38.71	64.05	1	1	1
154	2	32.79	65.5	93.58	1	1	1
184	2	42.13	60.75	73.55	1	1	1
312	3	26	36.5	80.2	1	1	1
192	3	26.37	36.1	65.53	1	1	1
77	2	48.21	56.38	74.53	1	1	1
187	2	29.66	45.75	106.52	1	1	1
252	3	25.86	33.67	67.32	1	1	1
3	3	35.06	57.6	72.22	1	1	1
146	2	40.13	55.34	78.9	1	1	1
34	3	39.74	56.87	68.62	1	1	1
232	3	38.82	53.9	77.08	1	1	1
330	1	32.89	50.44	53.97	1	1	1
226	3	37.28	57.74	77.38	1	1	1
289	3	20.61	42.56	51.68	1	1	1
366	1	39.78	53.18	72.58	1	1	1
179	2	42.61	57.57	76.6	1	1	1
357	1	42.8	56.18	70.38	1	1	1
99	2	24.58	41.11	58.77	1	1	1
