ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
146	1	24.20	40.42	61.23	7.75	0	1	1	1	0
147	1	27.48	51.20	59.98	7.75	0	1	1	1	0
148	1	27.48	51.20	59.98	7.75	0	1	1	1	0
149	1	28.79	51.50	90.65	7.75	0	1	1	1	0
150	1	28.79	51.50	90.65	7.75	0	1	1	1	0
151	1	42.61	68.48	76.60	7.75	0	1	1	1	0
152	1	42.61	68.48	76.60	7.75	0	1	1	1	0
153	1	42.61	68.48	76.60	7.75	0	1	1	1	0
154	1	42.61	68.48	76.60	7.75	0	1	1	1	0
155	1	26.10	49.49	73.55	7.75	0	1	1	1	0
156	1	41.44	66.10	56.42	7.75	0	1	1	1	0
157	1	22.67	42.85	93.12	7.75	0	1	1	1	0
158	1	29.47	65.49	75.37	7.75	0	1	1	1	0
159	1	38.90	68.51	79.63	7.75	0	1	1	1	0
160	1	38.90	68.51	79.63	7.75	0	1	1	1	0
161	1	38.90	68.51	79.63	7.75	0	1	1	1	0
162	1	38.90	68.51	79.63	7.75	0	1	1	1	0
163	1	42.13	72.27	73.55	7.75	0	1	1	1	0
164	1	30.28	71.11	108.03	7.75	0	1	1	1	0
165	1	34.43	68.14	82.12	7.75	0	1	1	1	0
166	1	53.98	64.68	73.90	7.75	0	1	1	1	0
167	1	47.88	66.70	58.08	7.75	0	1	1	1	0
168	1	47.88	66.70	58.08	7.75	0	1	1	1	0
169	1	47.88	66.70	58.08	7.75	0	1	1	1	0
170	1	47.88	66.70	58.08	7.75	0	1	1	1	0
171	1	47.88	66.70	58.08	7.75	0	1	1	1	0
172	1	47.88	66.70	58.08	7.75	0	1	1	1	0
173	1	47.88	66.70	58.08	7.75	0	1	1	1	0
174	1	47.88	66.70	58.08	7.75	0	1	1	1	0
175	1	47.88	66.70	58.08	7.75	0	1	1	1	0
176	1	47.88	66.70	58.08	7.75	0	1	1	1	0
177	1	47.88	66.70	58.08	7.75	0	1	1	1	0
178	1	9.98	44.24	31.47	7.75	0	1	1	1	0
179	1	35.06	68.52	72.22	7.75	0	1	1	1	0
180	1	35.06	68.52	72.22	7.75	0	1	1	1	0
181	1	35.06	68.52	72.22	7.75	0	1	1	1	0
182	1	35.06	68.52	72.22	7.75	0	1	1	1	0
183	1	35.06	68.52	72.22	7.75	0	1	1	1	0
