ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	VISITOR	BUSINESS	LOWINC	SELF_TT	TRANSIT_COST	FREE_COST	av1	av2	av3	av4
148	1	50.0	66.60847718	53.6833333333	1.0	0	0	50.0	7.75	0	1	1	1	1
149	1	38.7	66.60847718	53.6833333333	1.0	0	0	38.7	7.75	0	1	1	1	1
150	1	60.0	68.39660218	66.8333333333	0.0	1	0	60.0	7.75	0	1	1	1	1
151	1	45.0	68.39660218	66.8333333333	0.0	0	0	45.0	7.75	0	1	1	1	1
152	1	60.0	68.39660218	66.8333333333	0.0	0	1	60.0	7.75	0	1	1	1	1
153	1	70.0	68.39660218	66.8333333333	1.0	0	1	70.0	7.75	0	1	1	1	1
154	1	38.7	68.39660218	66.8333333333	0.0	1	0	38.7	7.75	0	1	1	1	1
155	1	38.7	68.39660218	66.8333333333	0.0	1	1	38.7	7.75	0	1	1	1	1
156	1	60.0	68.39660218	66.8333333333	1.0	1	0	60.0	7.75	0	1	1	1	1
157	1	40.0	68.39660218	66.8333333333	1.0	1	0	40.0	7.75	0	1	1	1	1
158	1	35.0	68.39660218	66.8333333333	1.0	1	0	35.0	7.75	0	1	1	1	1
159	1	75.0	68.39660218	66.8333333333	1.0	1	0	75.0	7.75	0	1	1	1	1
160	1	45.0	68.39660218	66.8333333333	1.0	0	0	45.0	7.75	0	1	1	1	1
161	1	60.0	63.99179805	65.7333333333	0.0	0	0	60.0	7.75	0	1	1	1	1
162	1	38.7	63.99179805	65.7333333333	1.0	0	0	38.7	7.75	0	1	1	1	1
163	1	90.0	63.99179805	65.7333333333	1.0	0	0	90.0	7.75	0	1	1	1	1
164	1	70.0	64.82919017	71.1166666667	1.0	0	1	70.0	7.75	0	1	1	1	1
165	1	60.0	37.18657779	35.15	0.0	0	1	60.0	7.75	0	1	1	1	1
166	1	25.0	48.90327895	58.7666666667	1.0	0	1	25.0	7.75	0	1	1	1	1
167	1	25.0	48.90327895	58.7666666667	0.0	0	1	25.0	7.75	0	1	1	1	1
168	1	45.0	60.25857119	55.1333333333	1.0	1	0	45.0	7.75	0	1	1	1	1
169	1	40.0	60.25857119	55.1333333333	0.0	1	0	40.0	7.75	0	1	1	1	1
170	1	60.0	60.25857119	55.1333333333	0.0	1	0	60.0	7.75	0	1	1	1	1
171	1	38.7	60.25857119	55.1333333333	0.0	0	1	38.7	7.75	0	1	1	1	1
172	1	38.7	60.25857119	55.1333333333	1.0	0	1	38.7	7.75	0	1	1	1	1
173	1	38.7	60.25857119	55.1333333333	0.0	0	0	38.7	7.75	0	1	1	1	1
174	1	45.0	66.83415588	70.3833333333	0.0	0	0	45.0	7.75	0	1	1	1	1
175	1	40.0	66.83415588	70.3833333333	0.0	0	0	40.0	7.75	0	1	1	1	1
176	1	30.0	66.83415588	70.3833333333	0.0	0	0	30.0	7.75	0	1	1	1	1
177	1	55.0	66.83415588	70.3833333333	1.0	0	1	55.0	7.75	0	1	1	1	1
178	1	23.0	48.3684003	73.2166666667	0.0	0	0	23.0	7.75	0	1	1	1	1
179	1	45.0	48.3684003	73.2166666667	0.0	0	1	45.0	7.75	0	1	1	1	1
180	1	40.0	65.62197309	92.75	0.0	0	1	40.0	7.75	0	1	1	1	1
181	1	60.0	77.86252603	101.333333333	1.0	0	0	60.0	7.75	0	1	1	1	1
182	1	60.0	68.44091579	73.0833333333	1.0	1	0	60.0	7.75	0	1	1	1	1
183	1	38.7	68.44091579	73.0833333333	0.0	0	1	38.7	7.75	0	1	1	1	1
184	1	45.0	68.44091579	73.0833333333	1.0	0	0	45.0	7.75	0	1	1	1	1
185	1	45.0	68.44091579	73.0833333333	1.0	0	1	45.0	7.75	0	1	1	1	1
186	1	45.0	68.04205471	65.05	1.0	1	0	45.0	7.75	0	1	1	1	1
187	1	45.0	68.04205471	65.05	1.0	0	0	45.0	7.75	0	1	1	1	1
188	1	45.0	68.04205471	65.05	1.0	0	1	45.0	7.75	0	1	1	1	1
189	1	75.0	68.04205471	65.05	0.0	0	0	75.0	7.75	0	1	1	1	1
190	1	60.0	68.04205471	65.05	1.0	0	1	60.0	7.75	0	1	1	1	1
191	1	40.0	68.04205471	65.05	1.0	0	0	40.0	7.75	0	1	1	1	1
192	1	50.0	68.04205471	65.05	0.0	1	0	50.0	7.75	0	1	1	1	1
193	1	60.0	68.04205471	65.05	1.0	0	0	60.0	7.75	0	1	1	1	1
194	1	45.0	68.65013682	96.0	0.0	1	0	45.0	7.75	0	1	1	1	1
195	1	40.0	68.65013682	96.0	0.0	0	1	40.0	7.75	0	1	1	1	1
196	1	79.2	68.65013682	96.0	1.0	1	0	79.2	7.75	0	1	1	1	1
197	1	75.0	68.65013682	96.0	1.0	0	0	75.0	7.75	0	1	1	1	1
198	1	80.0	68.65013682	96.0	1.0	0	1	80.0	7.75	0	1	1	1	1
199	1	45.0	68.49460435	74.75	1.0	0	1	45.0	7.75	0	1	1	1	1
200	1	30.0	68.49460435	74.75	0.0	0	0	30.0	7.75	0	1	1	1	1
201	1	30.0	68.49460435	74.75	0.0	0	0	30.0	7.75	0	1	1	1	1
202	1	30.0	68.49460435	74.75	0.0	0	0	30.0	7.75	0	1	1	1	1
203	1	45.0	68.49460435	74.75	0.0	0	0	45.0	7.75	0	1	1	1	1
204	1	38.7	68.49460435	74.75	0.0	0	1	38.7	7.75	0	1	1	1	1
205	1	79.2	68.49460435	74.75	0.0	0	0	79.2	7.75	0	1	1	1	1
206	1	40.0	68.49460435	74.75	1.0	0	0	40.0	7.75	0	1	1	1	1
207	1	38.7	44.53693126	43.25	1.0	1	0	38.7	7.75	0	1	1	1	1
208	1	38.7	44.53693126	43.25	1.0	0	0	38.7	7.75	0	1	1	1	1
209	1	75.0	68.68188962	77.3833333333	0.0	0	0	75.0	7.75	0	1	1	1	1
210	1	38.7	68.68188962	77.3833333333	0.0	1	1	38.7	7.75	0	1	1	1	1
211	1	65.0	68.28061554	50.0166666667	0.0	1	0	65.0	7.75	0	1	1	1	1
212	1	38.0	68.28061554	50.0166666667	1.0	0	1	38.0	7.75	0	1	1	1	1
213	1	35.0	68.28061554	50.0166666667	0.0	0	0	35.0	7.75	0	1	1	1	1
214	1	30.0	68.28061554	50.0166666667	1.0	1	0	30.0	7.75	0	1	1	1	1
215	1	35.0	68.28061554	50.0166666667	0.0	0	0	35.0	7.75	0	1	1	1	1
216	1	45.0	68.28061554	50.0166666667	0.0	0	0	45.0	7.75	0	1	1	1	1
217	1	60.0	68.28061554	50.0166666667	0.0	1	0	60.0	7.75	0	1	1	1	1
218	1	38.7	68.28061554	50.0166666667	1.0	1	0	38.7	7.75	0	1	1	1	1
219	1	38.7	68.28061554	50.0166666667	1.0	1	0	38.7	7.75	0	1	1	1	1
220	1	90.0	68.28061554	50.0166666667	1.0	0	0	90.0	7.75	0	1	1	1	1
221	1	30.0	64.11250404	77.0833333333	0.0	1	0	30.0	7.75	0	1	1	1	1
222	1	30.0	64.11250404	77.0833333333	0.0	1	0	30.0	7.75	0	1	1	1	1
223	1	75.0	64.62069762	70.65	0.0	0	0	75.0	7.75	0	1	1	1	1
224	1	30.0	64.62069762	70.65	0.0	0	1	30.0	7.75	0	1	1	1	1
225	1	45.0	64.62069762	70.65	1.0	0	0	45.0	7.75	0	1	1	1	1
226	1	30.0	47.06751005	75.9333333333	0.0	0	1	30.0	7.75	0	1	1	1	1
227	1	30.0	63.6171793	72.1833333333	0.0	0	0	30.0	7.75	0	1	1	1	1
228	1	45.0	63.6171793	72.1833333333	0.0	0	1	45.0	7.75	0	1	1	1	1
229	1	30.0	63.6171793	72.1833333333	0.0	0	1	30.0	7.75	0	1	1	1	1
230	1	30.0	63.6171793	72.1833333333	1.0	0	0	30.0	7.75	0	1	1	1	1
231	1	38.7	63.6171793	72.1833333333	0.0	0	1	38.7	7.75	0	1	1	1	1
232	1	38.7	63.6171793	72.1833333333	0.0	1	1	38.7	7.75	0	1	1	1	1
233	1	45.0	44.50614743	60.3	0.0	0	0	45.0	7.75	0	1	1	1	1
234	1	35.0	37.59233862	50.5333333333	0.0	0	0	35.0	7.75	0	1	1	1	1
235	1	20.0	37.59233862	50.5333333333	0.0	0	1	20.0	7.75	0	1	1	1	1
236	1	30.0	54.88827995	54.2333333333	0.0	0	0	30.0	7.75	0	1	1	1	1
237	1	60.0	69.88257372	87.9	0.0	1	1	60.0	7.75	0	1	1	1	1
238	1	79.2	69.88257372	87.9	1.0	0	0	79.2	7.75	0	1	1	1	1
239	1	79.2	66.30087139	72.3333333333	1.0	0	0	79.2	7.75	0	1	1	1	1
240	1	38.7	66.30087139	72.3333333333	1.0	1	1	38.7	7.75	0	1	1	1	1
241	1	45.0	66.30087139	72.3333333333	1.0	1	1	45.0	7.75	0	1	1	1	1
242	1	60.0	66.30087139	72.3333333333	0.0	1	1	60.0	7.75	0	1	1	1	1
243	1	45.0	72.99604381	99.7666666667	0.0	1	0	45.0	7.75	0	1	1	1	1
244	1	75.0	72.99604381	99.7666666667	1.0	0	0	75.0	7.75	0	1	1	1	1
245	1	60.0	63.26119903	72.5833333333	1.0	0	0	60.0	7.75	0	1	1	1	1
246	1	65.0	63.26119903	72.5833333333	0.0	0	0	65.0	7.75	0	1	1	1	1
247	1	75.0	63.26119903	72.5833333333	1.0	1	0	75.0	7.75	0	1	1	1	1
248	1	60.0	68.12933854	83.8333333333	0.0	0	0	60.0	7.75	0	1	1	1	1
249	1	35.0	68.12933854	83.8333333333	0.0	1	0	35.0	7.75	0	1	1	1	1
250	1	79.2	68.12933854	83.8333333333	1.0	1	0	79.2	7.75	0	1	1	1	1
251	1	38.7	68.12933854	83.8333333333	0.0	0	0	38.7	7.75	0	1	1	1	1
