ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	av1	av2	av3
256	3	34.88	46.33	70.42	1	1	1
257	3	38.74	61.22	70.82	1	1	1
258	3	14.44	28.35	42.67	1	1	1
259	3	14.44	28.35	42.67	1	1	1
260	3	14.44	28.35	42.67	1	1	1
261	3	12.87	19.88	61.18	1	1	1
262	3	34.49	46.5	95.38	1	1	1
263	1	36.45	58.58	97.67	1	1	1
264	1	28.25	57.83	100.62	1	1	1
265	1	35.06	57.6	72.22	1	1	1
266	1	33.2	57.83	96.25	1	1	1
267	1	37.91	57.5	66.83	1	1	1
268	1	37.61	50.66	55.13	1	1	1
269	1	42.8	56.18	70.38	1	1	1
270	1	42.8	56.18	70.38	1	1	1
271	1	29.51	55.17	92.75	1	1	1
272	1	38.7	57.95	81	1	1	1
273	1	39.88	57.58	74.75	1	1	1
274	1	28.77	37.44	43.25	1	1	1
275	1	33.02	43.99	64.75	1	1	1
276	1	46.38	57.4	50.02	1	1	1
277	1	38.82	53.9	77.08	1	1	1
278	1	45.64	54.32	70.65	1	1	1
279	1	39.78	53.18	72.58	1	1	1
280	1	37.74	47.58	75.45	1	1	1
281	1	34.88	46.33	70.42	1	1	1
282	1	13.88	40.75	35.27	1	1	1
283	1	38.74	61.22	70.82	1	1	1
284	1	17.05	42.93	39.83	1	1	1
285	3	47.49	57.02	60.83	1	1	1
286	3	47.49	57.02	60.83	1	1	1
287	3	40.19	57.31	62.23	1	1	1
288	3	26.37	36.1	65.53	1	1	1
289	3	45.23	57.35	75.12	1	1	1
290	3	46.91	57.2	65.05	1	1	1
291	3	46.38	57.4	50.02	1	1	1
292	3	40.19	57.31	62.23	1	1	1
293	3	40.19	57.31	62.23	1	1	1
294	3	7.91	12.3	51.48	1	1	1
295	3	26.37	36.1	65.53	1	1	1
296	3	26.37	36.1	65.53	1	1	1
297	3	26.37	36.1	65.53	1	1	1
298	3	26.37	36.1	65.53	1	1	1
299	3	26.37	36.1	65.53	1	1	1
300	3	26.37	36.1	65.53	1	1	1
301	3	26.37	36.1	65.53	1	1	1
302	1	45.23	57.35	75.12	1	1	1
303	1	43.83	53.79	65.73	1	1	1
304	1	46.38	57.4	50.02	1	1	1
305	1	33.58	44.47	66.5	1	1	1
306	1	39.78	53.18	72.58	1	1	1
307	1	41.98	57.39	66.68	1	1	1
308	3	37.91	57.5	66.83	1	1	1
309	3	42.8	56.18	70.38	1	1	1
310	3	14.13	19.63	42.4	1	1	1
311	3	39.88	57.58	74.75	1	1	1
312	3	39.88	57.58	74.75	1	1	1
313	3	39.88	57.58	74.75	1	1	1
314	3	39.88	57.58	74.75	1	1	1
315	3	38.81	61.36	99.77	1	1	1
316	3	33.58	44.47	66.5	1	1	1
317	1	23.01	31.6	50.53	1	1	1
318	1	20.37	46.14	54.23	1	1	1
319	1	22.18	57.83	109.45	1	1	1
320	1	29.52	44.33	76.78	1	1	1
321	1	12.87	19.88	61.18	1	1	1
322	3	25.56	44.46	43.87	1	1	1
323	3	40.13	55.34	78.9	1	1	1
324	3	19.29	30.5	59.12	1	1	1
