zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,route,driving_distance,duration_in_traffic,driving_duration,transit_duration
10169,-73.9761797,40.75441388,17.1909589,2589.013699,56.52452055,67.23920178,73,I-495 E and I-678 S,17.44312671,2512,2166,3668
10170,-73.97576992,40.75260263,16.85239437,2353.338028,57.85112676,68.81727696,71,I-495 E and I-678 S,17.17283033,2378,2010,3475
10171,-73.97414125,40.75602955,17.03609302,2483.925581,56.75762791,67.51649653,215,I-495 E and I-678 S,17.46114647,2513,2122,3641
10172,-73.9740974,40.75519866,16.96111776,2539.694611,57.38249501,68.25981226,501,I-495 E and I-678 S,17.42386421,2493,2102,3655
10173,-73.97896957,40.75395357,16.99391304,2705.173913,57.85913043,68.8267978,23,I-495 E and I-678 S,17.53322551,2578,2223,3702
10174,-73.97539385,40.75157085,16.69214765,2512.751678,57.81926175,68.77937167,149,I-495 E and I-678 S,17.06906137,2324,1957,3398
10175,-73.97987113,40.75417219,16.68875,2331.375,57.83,68.79214545,16,I-495 E and I-678 S,17.48475857,2559,2204,3642
10176,-73.97887913,40.75542475,13.10125,1666.75,44.39375,52.80894531,8,I-495 E and I-678 S,17.5891489,2625,2262,3812
10178,-73.97771183,40.75092314,16.54868966,2623.386207,57.47158621,68.36579142,145,I-495 E and I-678 S,17.12312065,2362,2005,3505
10203,-74.01186833,40.7071611,21.32619048,3219.380952,54.78428571,65.16909132,21,Belt Pkwy,28.19284501,2846,2671,4153
10275,-74.01372929,40.705802,20.13142857,2701.428571,52.5,62.45180073,7,Belt Pkwy,28.43083011,2987,2813,4993
10280,-74.01628383,40.70826624,21.42653999,2752.698809,54.76584231,65.14715183,1763,Belt Pkwy,28.14002848,2786,2636,4570
10281,-74.01522672,40.71170049,21.9797695,2925.115248,55.10989362,65.55642085,564,Belt Pkwy,28.02880307,2714,2568,4564
10282,-74.01538083,40.71558378,22.164081,2936.266044,55.28917134,65.76968211,1605,Belt Pkwy,28.37428534,2812,2673,4363
10285,-74.01467767,40.7137838,22.62233333,3171.533333,55.87566667,66.46735239,30,Belt Pkwy,28.20278695,2742,2601,4419
10303,-74.173802,40.6269525,29.67,3060,84.58,100.6128249,2,I-278 E and Belt Pkwy,29.81151647,3028,2656,7677
10304,-74.089603,40.608111,17,1331,57.83,68.79214545,1,Belt Pkwy,23.27966452,2596,2188,6567
10305,-74.07570633,40.59707133,20.77,1816.666667,59.77666667,71.10781857,3,Belt Pkwy,22.84967578,2623,2248,6482
10451,-73.92541206,40.82140303,18.3921875,1943.34375,57.2728125,68.12933854,32,Grand Central Pkwy and I-678 S,19.10777962,2297,2212,5030
10452,-73.92343058,40.83505742,19.11083333,1864.5,58.74666667,69.88257372,12,Grand Central Pkwy and I-678 S,19.43462077,2267,2142,5274
10453,-73.914159,40.8491785,19.125,1830,59.33,70.57648261,2,I-678 S,20.21382,2411,2300,5433
10454,-73.92095429,40.80578975,17.15791667,1886.125,55.97583333,66.58650646,24,Grand Central Pkwy and I-678 S,17.11193597,2081,1919,4894
10455,-73.91550233,40.81582567,18.05666667,1873,56.49666667,67.20606797,3,Grand Central Pkwy and I-678 S,17.80352189,2223,2106,5158
10456,-73.9079114,40.829781,19.62,2328.6,61.364,72.99604381,5,I-678 S,19.85156071,2331,2222,5986
10457,-73.90131217,40.84411317,17.86,2240.666667,59.80333333,71.13954012,6,I-678 S,18.74924855,2056,1928,5280
10458,-73.89020325,40.8643215,17.7475,2187.25,58.58,69.68431403,4,I-678 S,20.16162484,2412,2322,5860
10459,-73.897649,40.8302425,17.515,1695,57.83,68.79214545,2,I-678 S,19.58934215,2322,2218,6037
10460,-73.8790805,40.84134775,18.3175,2180,55.165,65.62197309,4,I-678 S,17.77618157,2036,1925,6534
10461,-73.84250533,40.84439422,17.23222222,1753.666667,53.49666667,63.63739365,9,I-678 S,16.815542,1971,1820,5860
10462,-73.85497557,40.83616771,17.67285714,2637.285714,57.56857143,68.48116097,7,I-678 S,16.99325411,2024,1921,5626
10463,-73.909032,40.8742845,20.68,1770.5,55.165,65.62197309,2,Grand Central Pkwy,22.85278264,2605,2394,5565
10465,-73.82885033,40.819863,17.66333333,2899.333333,55.88666667,66.48043753,3,I-678 S,16.07921737,1937,1808,6410
10467,-73.87292133,40.88127967,22.23,1967.333333,65.49666667,77.91209095,3,I-678 S,20.5717297,2306,2167,5615
10468,-73.902531,40.8642845,20.895,1992,57.83,68.79214545,2,Grand Central Pkwy,22.0157959,2545,2415,5775
10469,-73.8437205,40.86982875,22.065,2298.25,65.455,77.86252603,4,I-678 S,18.61503242,2085,1958,6080
10471,-73.8935685,40.8884485,22.645,2338.5,67.33,80.09294749,2,I-87 S and Grand Central Pkwy,23.59532098,2655,2411,5825
10472,-73.86625183,40.82915283,18.29833333,2400,58.19166667,69.22236897,6,I-678 S,16.91371862,2016,1894,5834
11004,-73.704097,40.739143,10.3,856,29.5,35.09196422,1,Cross Island Pkwy and Belt Pkwy,11.27912639,1175,1188,4183
11101,-73.94366558,40.74654217,15.21274219,1973.587109,50.43984766,60.0011298,2560,I-495 E and I-678 S,16.08978067,2047,1903,3238
11102,-73.9229604,40.76965486,14.40481203,1587.383459,41.85349624,49.78716585,532,Grand Central Pkwy and I-678 S,14.55561568,1900,1840,3816
11103,-73.91545623,40.76450799,14.15606469,1475.061995,41.11045822,48.90327895,371,Grand Central Pkwy and I-678 S,14.47608019,1812,1739,3526
11104,-73.922053,40.74289322,14.02917485,1748.836935,43.21829077,51.41066824,509,I-678 S,14.28221244,1940,1788,3313
11105,-73.91050771,40.7749762,14.06296651,1535.956938,40.6608134,48.3684003,209,Grand Central Pkwy and I-678 S,14.03304266,1852,1787,4393
11106,-73.9281854,40.76159672,14.90703349,1649.017544,43.03889952,51.19727193,627,Grand Central Pkwy and I-678 S,14.90544755,1917,1869,3599
11109,-73.95681868,40.74516051,15.2153125,1842.114583,44.2378125,52.62344859,96,I-495 E and I-678 S,15.74926937,1932,1783,3508
11201,-73.98971755,40.69338755,17.38564167,2256.513338,50.65626532,60.25857119,2774,Atlantic Ave,13.51419788,2733,2752,3308
11203,-73.93717692,40.656976,11.45416667,1647.916667,36,42.82409193,12,Linden Blvd,10.54280176,1974,1940,4303
11204,-73.9835735,40.61510388,18.46125,1973.625,52.41625,62.35217524,8,Belt Pkwy,18.93006752,2131,2117,5602
11205,-73.9662265,40.69229432,15.70976744,2082.51938,46.63403101,55.47388975,258,Atlantic Ave,12.48893573,2424,2437,4051
11206,-73.94254738,40.70475007,14.35310219,1981.153285,43.98562044,52.32345148,274,Nassau Expy,11.85016634,2352,2402,3885
11207,-73.90079718,40.67878429,8.729411765,1152.941176,32.98029412,39.23197631,34,Nassau Expy,8.471150843,1348,1314,2546
11208,-73.86823668,40.67546345,7.478709677,866.3225806,28.34935484,33.72320494,31,Nassau Expy,6.51818179,814,811,2560
11209,-74.02767364,40.62749943,20.94357143,2198.5,57.91642857,68.89495726,14,Belt Pkwy,20.81903536,2327,2264,4722
11210,-73.94699983,40.63214978,14.01,1566.111111,41.60166667,49.48759994,18,Belt Pkwy,14.77806649,1857,1840,4413
11211,-73.95470219,40.7135887,15.35383142,2092.859004,46.334659,55.11776935,1305,I-678 S,16.17366576,2306,2171,4225
11212,-73.92492333,40.66273933,10.47,1551.333333,33.66666667,40.04845634,3,Linden Blvd,10.11840536,1772,1769,4039
11213,-73.93868674,40.67156722,11.21477273,1689.840909,36.67034091,43.62150139,88,Nassau Expy,10.78451508,1886,1902,4093
11214,-73.99507583,40.59623333,16.27666667,1595.833333,54.90833333,65.31665318,6,Belt Pkwy,17.25112307,1791,1768,5459
11215,-73.98401503,40.6696729,16.73676123,2345.416076,50.48111111,60.05021508,423,Eastern Pkwy,13.26254262,2679,2611,4603
11216,-73.95061297,40.67976036,11.9069338,1726.285714,37.43989547,44.53693126,287,Atlantic Ave,11.05356872,2022,2048,2595
11217,-73.97871825,40.68278773,15.01768362,2231.885876,46.1699774,54.92187102,885,Atlantic Ave,12.57033533,2504,2524,3065
11218,-73.97329321,40.6440133,18.01786517,2329.438202,53.89606742,64.11250404,89,Belt Pkwy,19.35135705,2582,2444,4625
11219,-73.9954525,40.63853413,21.40375,2527.875,60.75,72.26565513,8,Belt Pkwy,21.33353054,2654,2576,4413
11220,-74.01544867,40.64367689,21.43222222,2324.111111,61.22111111,72.82606917,18,Belt Pkwy,23.06404878,2292,2200,4249
11221,-73.9301537,40.69152995,11.64418803,1690.350427,37.41401709,44.50614743,117,Atlantic Ave,10.87026427,1991,2018,3618
11222,-73.94898587,40.72604778,14.87803456,1899.904968,45.36356371,53.96259508,463,I-678 S,15.46965242,2159,1953,3853
11223,-73.96753883,40.601442,16.12333333,2069.5,46.5,55.31445207,6,Belt Pkwy,16.51293433,1854,1832,5723
11224,-73.9722245,40.57785175,15.65,1779.75,45.75,54.42228349,4,Belt Pkwy,15.79214397,1611,1611,6391
11225,-73.95720389,40.66390685,12.46944444,1938.825397,39.56722222,47.06751005,126,Eastern Pkwy,11.84270989,2255,2187,4556
11226,-73.95983934,40.64936762,14.60340426,2015.085106,44.4712766,52.9011677,94,Linden Blvd,11.72837763,2474,2386,3990
11228,-74.0115244,40.613029,18.626,1657,51.9,61.73806586,5,Belt Pkwy,19.24448124,1930,1859,5921
11229,-73.94982683,40.609398,15.29666667,1771,44.33333333,52.73707617,6,Belt Pkwy,14.67429754,1741,1762,4607
11230,-73.96557684,40.62666138,16.17777778,2068,48.57755556,57.78582513,45,Belt Pkwy,16.17366576,2324,2222,4739
11232,-74.00161217,40.65610883,19.4025,2570,57.36791667,68.24247048,24,Belt Pkwy,24.43603595,2559,2426,4073
11233,-73.92300492,40.67963845,9.61421875,1322.671875,30.90625,36.76478031,64,Nassau Expy,9.661697679,1593,1634,3185
11234,-73.92394721,40.62002279,12.19928571,1360.142857,36.02357143,42.85213151,14,Belt Pkwy,13.5458878,1521,1533,5587
11235,-73.95106125,40.58198063,14.18875,1727.625,43.29125,51.49745749,8,Belt Pkwy,14.73519189,1466,1462,5439
11236,-73.90109617,40.63883433,9.123333333,995.3333333,27.75,33.01023753,6,Belt Pkwy,9.762981152,1125,1118,4277
11237,-73.92169422,40.70313359,13.52397059,1721.073529,40.96044118,48.72482496,68,Nassau Expy,10.49433482,1946,2025,4190
11238,-73.96489682,40.67890722,13.09903803,1943.234899,40.79138702,48.52372522,447,Atlantic Ave,11.9067111,2242,2252,3737
11239,-73.87434275,40.64762775,7.77,910.75,33.4575,39.79964044,4,Belt Pkwy,7.803177018,824,812,4297
11249,-73.96145363,40.71622112,15.87734043,2264.229787,47.57780851,56.59656793,470,I-678 S,16.09661576,2375,2245,4527
11251,-73.9740475,40.6980345,17.7,2556.5,50.5,60.07268451,2,I-678 S,18.6454796,2654,2390,4737
11354,-73.8306033,40.76294555,11.19333333,1451.878788,33.97969697,40.42082408,33,I-678 S,10.89263363,1437,1242,3674
11355,-73.82577584,40.74595865,10.24322581,1380.741935,31.60193548,37.59233862,31,I-678 S,9.700222681,1461,1279,3032
11356,-73.841292,40.781375,12.33,1560,36.5,43.41887098,1,I-678 S,11.75696069,1573,1417,4812
11357,-73.815693,40.787799,14.085,1455,43.75,52.04316727,2,I-678 S,12.74369784,1481,1281,4974
