,MAINMODE,ODTravelTimeToAirport,zipcode,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration,ModeGroup
407,Taxi,45,10471.0,38.975,67.33,80.092947488,2,97.0833333333,taxi
410,Taxi,35,11417.0,16.865503876,31.5379069767,37.5161729893,43,39.6,taxi
411,Taxi,49,11224.0,29.6625,45.75,54.4222834929,4,106.516666667,taxi
412,Taxi,35,11224.0,29.6625,45.75,54.4222834929,4,106.516666667,taxi
3,SuperShuttle from Manhattan,60,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,other
20,SuperShuttle from Manhattan,30,10128.0,35.0562903152,57.6039844076,68.5232867705,7183,72.2166666667,other
55,SuperShuttle from Manhattan,130,10023.0,48.2056049597,56.3785424574,67.0655523614,9221,74.5333333333,other
80,SuperShuttle from Manhattan,60,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,other
98,SuperShuttle from Manhattan,40,10022.0,40.9683836687,55.9943029876,66.6084771842,18443,53.6833333333,other
99,SuperShuttle from Manhattan,90,10022.0,40.9683836687,55.9943029876,66.6084771842,18443,53.6833333333,other
100,SuperShuttle from Manhattan,45,10022.0,40.9683836687,55.9943029876,66.6084771842,18443,53.6833333333,other
143,SuperShuttle from Manhattan,60,10036.0,46.9126850162,57.1994374916,68.0420547061,22453,65.05,other
148,SuperShuttle from Manhattan,35,10035.0,29.3475862068,57.7106206897,68.6501368246,145,96.0,other
173,SuperShuttle from Manhattan,60,10001.0,46.3806163855,57.3999832539,68.2806155438,15526,50.0166666667,other
204,SuperShuttle from Manhattan,30,10013.0,47.2605788882,53.4796735132,63.6171793015,6524,72.1833333333,other
220,SuperShuttle from Manhattan,60,10014.0,49.6781623373,55.7357147003,66.3008713902,6891,72.3333333333,other
5,Airlink New York,60,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,other
127,Airlink New York,60,10003.0,42.803859969,56.1840193965,66.8341558769,12064,70.3833333333,other
139,Airlink New York,90,10029.0,33.8378619692,57.5347393822,68.4409157891,2072,73.0833333333,other
402,Airlink New York,45,11223.0,34.4916666667,46.5,55.3144520747,6,95.3833333333,other
6,Passenger in Car and Dropped Off at Airport,60,10019.0,47.8790227505,56.0678149397,66.695923923,33816,58.0833333333,other
11,Passenger in Car and Dropped Off at Airport,30,10458.0,36.4541666667,58.58,69.6843140331,4,97.6666666667,other
23,Passenger in Car and Dropped Off at Airport,20,11385.0,28.719047619,38.7138095238,46.0523260545,21,64.05,other
24,Passenger in Car and Dropped Off at Airport,55,11385.0,28.719047619,38.7138095238,46.0523260545,21,64.05,other
28,Passenger in Car and Dropped Off at Airport,60,10011.0,47.4911217462,57.0172886662,67.8253780938,11179,60.8333333333,other
58,Passenger in Car and Dropped Off at Airport,15,11413.0,16.1523809524,23.2933333333,27.7087735554,21,38.6166666667,other
60,Passenger in Car and Dropped Off at Airport,8,11413.0,16.1523809524,23.2933333333,27.7087735554,21,38.6166666667,other
62,Passenger in Car and Dropped Off at Airport,25,11413.0,16.1523809524,23.2933333333,27.7087735554,21,38.6166666667,other
63,Passenger in Car and Dropped Off at Airport,7,11413.0,16.1523809524,23.2933333333,27.7087735554,21,38.6166666667,other
64,Passenger in Car and Dropped Off at Airport,60,10012.0,45.3349925493,53.7220306052,63.9054771456,5816,72.5166666667,other
85,Passenger in Car and Dropped Off at Airport,10,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,other
92,Passenger in Car and Dropped Off at Airport,30,11371.0,26.37275651,36.1017854549,42.9451716421,9639,65.5333333333,other
111,Passenger in Car and Dropped Off at Airport,10,11418.0,11.3888888889,31.2608333333,37.18657779,72,35.15,other
120,Passenger in Car and Dropped Off at Airport,30,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,other
122,Passenger in Car and Dropped Off at Airport,30,11201.0,37.6085556357,50.6562653208,60.2585711909,2774,55.1333333333,other
