zipcode,taxi_mean_pickup_longitude,taxi_mean_pickup_latitude,taxi_mean_trip_distance,taxi_mean_duration,taxi_mean_total_ex_tip,taxi_mean_total_w_inferred_tip,taxi_N,transit_duration
10022,-73.9703543717,40.7584598064,17.1082475736,2458.10302012,55.9943029876,66.6084771842,18443,3221
10023,-73.981934237,40.7753753911,19.820087843,2892.33629758,56.3785424574,67.0655523614,9221,4472
10024,-73.9760642212,40.7856869948,20.21723229,2714.06814438,57.3484379212,68.2192993754,6677,4507
10025,-73.9680715863,40.7975556196,19.4273197183,2556.32549296,57.5689830986,68.4816506796,7100,4596
10026,-73.9542119422,40.8029206234,18.2342802057,2236.84190231,57.7373136247,68.6818896219,778,4643
10027,-73.9567291252,40.8104640964,18.3150692521,2392.56177285,57.5798725762,68.4946043459,1805,4485
10028,-73.9530703996,40.7766007369,18.8583901481,2209.98126004,57.4013349991,68.2822235233,5603,4186
10029,-73.9473767346,40.789206418,18.1693098456,2030.27171815,57.5347393822,68.4409157891,2072,4385
10030,-73.9427648333,40.8171661083,18.1349166667,2065.80833333,57.2810833333,68.1391771792,120,4927
10031,-73.9513271329,40.8241648453,18.9619825708,2379.23529412,57.692832244,68.6289764348,459,5017
10032,-73.9424942966,40.8377773276,20.2111034483,2334.27586207,57.5915517241,68.5084973711,290,4778
10033,-73.9373944167,40.8493347262,20.7064285714,2322.21428571,57.9528571429,68.9382911618,84,4860
10034,-73.9221458929,40.8675960357,21.8867857143,2234.82142857,57.83,68.7921454512,28,5341
10035,-73.9243576138,40.7949892828,16.3027586207,1760.85517241,57.7106206897,68.6501368246,145,5760
10036,-73.9872514485,40.7584753854,17.6506840957,2814.76110097,57.1994374916,68.0420547061,22453,3903
10037,-73.9383217009,40.8128034579,17.7727102804,1875.40186916,57.5496261682,68.4586244861,107,4964
10038,-74.0052042181,40.7085247742,19.2266558966,2629.52180937,53.7945961228,63.9917980455,2476,3944
10039,-73.9395845455,40.8243704318,18.6281818182,2045.02272727,57.7313636364,68.674811765,44,4987
10040,-73.9304319032,40.8581964839,21.5883870968,2141.58064516,58.0448387097,69.0477085805,31,5273
10041,-74.0092653889,40.7034493519,19.755,3238.81481481,54.3753703704,64.6826627613,54,4434
10043,-74.0070534286,40.7043014286,20.1119047619,2519.14285714,55.0380952381,65.4710125018,21,4360
10044,-73.9504362182,40.7612885636,15.8112727273,2120.2,51.842,61.6690714937,55,3301
10045,-74.0085222069,40.7082103103,20.3310344828,2819.62068966,55.1365517241,65.5881322132,29,3953
10047,-73.9864146667,40.7394926667,17.0166666667,1981.66666667,57.83,68.7921454512,3,4015
10048,-74.0118048717,40.711468683,20.7246037736,2803.8754717,54.4182264151,64.7336425168,265,4258
10055,-73.9736774857,40.7590500857,17.0154285714,2342.8,56.4594285714,67.1617710942,35,3532
10065,-73.9638302793,40.7643839021,18.1798686515,2486.67060712,55.5648029772,66.097561964,6852,3385
10069,-73.989042294,40.7767030273,20.4107444169,2948.75930521,56.604751861,67.3346415918,806,4716
10075,-73.9550875148,40.7731345656,19.0294196721,2277.89213115,57.1798655738,68.0187727725,3050,4046
10096,-73.9826898889,40.7546441111,16.6816666667,2229.0,57.2377777778,68.0876627044,18,3555
10097,-73.9847239644,40.7620542278,17.7486476868,2973.54448399,56.8478647687,67.6238385226,281,3586
10103,-73.9766213611,40.7603445417,17.4730555556,2842.51388889,56.1944444444,66.8465570772,72,3265
10104,-73.9790271757,40.7605310068,17.6635810811,2798.18918919,56.2679054054,66.933943159,148,3610
10105,-73.9790026364,40.7629501869,17.8864646465,2756.59090909,55.8708080808,66.4615728164,198,3606
10106,-73.9808802338,40.7653376623,18.6215584416,2963.46753247,55.3507792208,65.842968269,77,3610
10107,-73.9825313514,40.7662843784,18.0813513514,2518.86486486,55.7010810811,66.2596726875,37,3761
10110,-73.9812046538,40.7538962692,16.7523076923,2644.84615385,57.625,68.5482860389,26,3488
10111,-73.9774027746,40.7590423239,17.3031690141,2881.50704225,57.6953521127,68.631973965,142,3360
10112,-73.9797182263,40.7592331022,17.5827007299,3094.89781022,56.479270073,67.1853737133,137,3654
10115,-73.963418,40.8109035,18.5875,3174.5,56.4975,67.2070592708,4,4907
10118,-73.9855965957,40.7483881702,17.1091489362,2347.0,57.3763829787,68.2525416451,47,3831
10119,-73.9924574432,40.7513413523,17.2823863636,2827.46590909,56.8190909091,67.5896103446,88,3015
10120,-73.9889971667,40.7498345833,17.0208333333,2611.25,52.8166666667,62.8284941308,12,3082
10121,-73.991947691,40.7499740597,17.303880597,2973.06716418,57.3823134328,68.2595962649,670,2965
10122,-73.9916793,40.7518021,17.421,2850.0,56.847,67.62280983,10,2951
10123,-73.9907416,40.7514137,17.169,2588.7,61.63,73.3124662659,10,3044
10128,-73.9503386152,40.7817850681,18.5825407211,2103.37741891,57.6039844076,68.5232867705,7183,4333
10151,-73.9730838333,40.7632316667,17.7427777778,2493.61111111,54.8688888889,65.269731717,18,3701
10152,-73.9722322167,40.7585010333,16.9425,2782.26666667,56.764,67.5240765069,60,3324
10153,-73.9724231556,40.7636487852,17.2517037037,2697.2,54.9367407407,65.3504454376,135,3783
10154,-73.97246964,40.7577855933,16.9836,2606.17333333,56.9776666667,67.7782454229,150,3361
10162,-73.9513913158,40.7696832632,18.9194736842,2288.68421053,57.2689473684,68.1247407437,19,4317
10165,-73.9787228269,40.7521241827,16.6927884615,2553.15384615,57.5946153846,68.5121417732,104,3597
10166,-73.9768095083,40.7534848667,16.77425,2597.05,56.7676666667,67.52843822,120,5491
10167,-73.9746074852,40.7546217515,16.7550295858,2486.3964497,57.42,68.3044266265,169,3725
10168,-73.9766331154,40.7512623077,16.8529230769,2236.88461538,57.6776153846,68.6108750963,130,3398
10169,-73.9761796986,40.7544138767,17.1909589041,2589.01369863,56.5245205479,67.2392017827,73,3668
10170,-73.9757699155,40.7526026338,16.8523943662,2353.33802817,57.8511267606,68.8172769606,71,3475
10171,-73.9741412512,40.7560295488,17.0360930233,2483.9255814,56.757627907,67.516496532,215,3641
10172,-73.9740973972,40.7551986647,16.9611177645,2539.69461078,57.38249501,68.2598122615,501,3655
10173,-73.9789695652,40.7539535652,16.9939130435,2705.17391304,57.8591304348,68.8267977962,23,3702
10174,-73.9753938456,40.7515708456,16.692147651,2512.75167785,57.819261745,68.7793716729,149,3398
10175,-73.979871125,40.7541721875,16.68875,2331.375,57.83,68.7921454512,16,3642
10176,-73.978879125,40.75542475,13.10125,1666.75,44.39375,52.8089453074,8,3812
10178,-73.9777118276,40.7509231448,16.5486896552,2623.3862069,57.4715862069,68.3657914172,145,3505
10203,-74.0118683333,40.7071610952,21.3261904762,3219.38095238,54.7842857143,65.1690913246,21,4153
10275,-74.0137292857,40.705802,20.1314285714,2701.42857143,52.5,62.4518007296,7,4993
10280,-74.0162838315,40.7082662399,21.4265399887,2752.69880885,54.7658423142,65.1471518285,1763,4570
10281,-74.0152267216,40.7117004911,21.9797695035,2925.11524823,55.109893617,65.5564208457,564,4564
10282,-74.0153808324,40.7155837807,22.1640809969,2936.26604361,55.2891713396,65.7696821143,1605,4363
10285,-74.0146776667,40.7137838,22.6223333333,3171.53333333,55.8756666667,66.4673523866,30,4419
10303,-74.173802,40.6269525,29.67,3060.0,84.58,100.612824871,2,7677
10304,-74.089603,40.608111,17.0,1331.0,57.83,68.7921454512,1,6567
10305,-74.0757063333,40.5970713333,20.77,1816.66666667,59.7766666667,71.1078185704,3,6482
10451,-73.9254120625,40.8214030312,18.3921875,1943.34375,57.2728125,68.1293385423,32,5030
10452,-73.9234305833,40.8350574167,19.1108333333,1864.5,58.7466666667,69.8825737179,12,5274
10453,-73.914159,40.8491785,19.125,1830.0,59.33,70.5764826149,2,5433
10454,-73.9209542917,40.80578975,17.1579166667,1886.125,55.9758333333,66.5865064572,24,4894
10455,-73.9155023333,40.8158256667,18.0566666667,1873.0,56.4966666667,67.2060679724,3,5158
10456,-73.9079114,40.829781,19.62,2328.6,61.364,72.9960438089,5,5986
10457,-73.9013121667,40.8441131667,17.86,2240.66666667,59.8033333333,71.1395401199,6,5280
10458,-73.89020325,40.8643215,17.7475,2187.25,58.58,69.6843140331,4,5860
10459,-73.897649,40.8302425,17.515,1695.0,57.83,68.7921454512,2,6037
10460,-73.8790805,40.84134775,18.3175,2180.0,55.165,65.6219730904,4,6534
10461,-73.8425053333,40.8443942222,17.2322222222,1753.66666667,53.4966666667,63.637393645,9,5860
10462,-73.8549755714,40.8361677143,17.6728571429,2637.28571429,57.5685714286,68.4811609741,7,5626
10463,-73.909032,40.8742845,20.68,1770.5,55.165,65.6219730904,2,5565
10465,-73.8288503333,40.819863,17.6633333333,2899.33333333,55.8866666667,66.4804375258,3,6410
10467,-73.8729213333,40.8812796667,22.23,1967.33333333,65.4966666667,77.9120909546,3,5615
10468,-73.902531,40.8642845,20.895,1992.0,57.83,68.7921454512,2,5775
10469,-73.8437205,40.86982875,22.065,2298.25,65.455,77.8625260334,4,6080
10471,-73.8935685,40.8884485,22.645,2338.5,67.33,80.092947488,2,5825
10472,-73.8662518333,40.8291528333,18.2983333333,2400.0,58.1916666667,69.2223689674,6,5834
11004,-73.704097,40.739143,10.3,856.0,29.5,35.0919642195,1,4183
11101,-73.9436655809,40.7465421695,15.2127421875,1973.58710937,50.4398476563,60.001129803,2560,3238
11102,-73.9229603985,40.7696548571,14.4048120301,1587.38345865,41.8534962406,49.7871658486,532,3816
11103,-73.9154562264,40.7645079946,14.15606469,1475.06199461,41.110458221,48.903278947,371,3526
11104,-73.9220530039,40.7428932181,14.0291748527,1748.83693517,43.2182907662,51.4106682439,509,3313
11105,-73.9105077129,40.7749761962,14.0629665072,1535.9569378,40.6608133971,48.3684003006,209,4393
11106,-73.9281854019,40.7615967177,14.9070334928,1649.01754386,43.0388995215,51.1972719341,627,3599
11109,-73.9568186771,40.7451605104,15.2153125,1842.11458333,44.2378125,52.6234485897,96,3508
11201,-73.9897175465,40.6933875465,17.3856416727,2256.51333814,50.6562653208,60.2585711909,2774,3308
11203,-73.9371769167,40.656976,11.4541666667,1647.91666667,36.0,42.8240919288,12,4303
11204,-73.9835735,40.615103875,18.46125,1973.625,52.41625,62.3521752379,8,5602
11205,-73.9662265,40.6922943178,15.7097674419,2082.51937984,46.6340310078,55.4738897469,258,4051
11206,-73.9425473796,40.7047500657,14.3531021898,1981.15328467,43.985620438,52.3234514773,274,3885
11207,-73.9007971765,40.6787842941,8.72941176471,1152.94117647,32.9802941176,39.2319763093,34,2546
11208,-73.8682366774,40.6754634516,7.47870967742,866.322580645,28.3493548387,33.7232049371,31,2560
11209,-74.0276736429,40.6274994286,20.9435714286,2198.5,57.9164285714,68.8949572592,14,4722
11210,-73.9469998333,40.6321497778,14.01,1566.11111111,41.6016666667,49.4875999368,18,4413
11211,-73.9547021893,40.7135887042,15.3538314176,2092.85900383,46.3346590038,55.117769352,1305,4225
11212,-73.9249233333,40.6627393333,10.47,1551.33333333,33.6666666667,40.0484563409,3,4039
11213,-73.9386867386,40.6715672159,11.2147727273,1689.84090909,36.6703409091,43.6215013931,88,4093
11214,-73.9950758333,40.5962333333,16.2766666667,1595.83333333,54.9083333333,65.3166531757,6,5459
11215,-73.9840150331,40.669672896,16.7367612293,2345.41607565,50.4811111111,60.0502150803,423,4603
11216,-73.9506129652,40.6797603624,11.9069337979,1726.28571429,37.4398954704,44.5369312619,287,2595
11217,-73.9787182463,40.6827877333,15.0176836158,2231.88587571,46.1699774011,54.9218710161,885,3065
11218,-73.9732932135,40.6440133034,18.0178651685,2329.43820225,53.8960674157,64.1125040448,89,4625
11219,-73.9954525,40.638534125,21.40375,2527.875,60.75,72.2656551299,8,4413
11220,-74.0154486667,40.6436768889,21.4322222222,2324.11111111,61.2211111111,72.8260691724,18,4249
11221,-73.9301537009,40.6915299487,11.6441880342,1690.35042735,37.414017094,44.5061474295,117,3618
11222,-73.9489858704,40.7260477797,14.8780345572,1899.9049676,45.3635637149,53.9625950763,463,3853
11223,-73.9675388333,40.601442,16.1233333333,2069.5,46.5,55.3144520747,6,5723
11224,-73.9722245,40.57785175,15.65,1779.75,45.75,54.4222834929,4,6391
11225,-73.9572038889,40.6639068492,12.4694444444,1938.82539683,39.5672222222,47.0675100504,126,4556
11226,-73.9598393404,40.649367617,14.6034042553,2015.08510638,44.4712765957,52.901167698,94,3990
11228,-74.0115244,40.613029,18.626,1657.0,51.9,61.7380658641,5,5921
11229,-73.9498268333,40.609398,15.2966666667,1771.0,44.3333333333,52.7370761716,6,4607
11230,-73.9655768444,40.6266613778,16.1777777778,2068.0,48.5775555556,57.785825133,45,4739
11232,-74.0016121667,40.6561088333,19.4025,2570.0,57.3679166667,68.242470475,24,4073
11233,-73.9230049219,40.6796384531,9.61421875,1322.671875,30.90625,36.7647803104,64,3185
11234,-73.9239472143,40.6200227857,12.1992857143,1360.14285714,36.0235714286,42.8521315128,14,5587
11235,-73.95106125,40.581980625,14.18875,1727.625,43.29125,51.4974574921,8,5439
11236,-73.9010961667,40.6388343333,9.12333333333,995.333333333,27.75,33.0102375285,6,4277
11237,-73.9216942206,40.7031335882,13.5239705882,1721.07352941,40.9604411765,48.7248249552,68,4190
11238,-73.964896821,40.678907217,13.0990380313,1943.23489933,40.7913870246,48.523725218,447,3737
11239,-73.87434275,40.64762775,7.77,910.75,33.4575,39.7996404364,4,4297
11249,-73.9614536277,40.7162211191,15.8773404255,2264.22978723,47.5778085106,56.5965679287,470,4527
11251,-73.9740475,40.6980345,17.7,2556.5,50.5,60.0726845113,2,4737
11354,-73.830603303,40.7629455455,11.1933333333,1451.87878788,33.9796969697,40.4208240762,33,3674
11355,-73.8257758387,40.7459586452,10.2432258065,1380.74193548,31.6019354839,37.5923386192,31,3032
11356,-73.841292,40.781375,12.33,1560.0,36.5,43.4188709834,1,4812
11357,-73.815693,40.787799,14.085,1455.0,43.75,52.0431672746,2,4974
11358,-73.803869,40.761644,12.0,1777.0,35.5,42.2293128743,1,4110
11360,-73.7815866667,40.7819663333,23.07,3951.33333333,48.4433333333,57.6261600002,3,5384
11361,-73.766053,40.760436,15.5,1871.0,44.5,52.9353358565,1,4307
11362,-73.722042,40.764552,21.17,2040.0,57.0,67.8048122207,1,4457
11365,-73.8038914,40.7359494,16.194,2220.4,53.564,63.7174905577,5,3179
11366,-73.7953275,40.72593825,7.875,948.75,24.5,29.1441736738,4,3080
11367,-73.8309119674,40.7239576848,8.7052173913,1222.34782609,46.1417391304,54.8882799522,92,3254
11368,-73.8551181077,40.7541423385,11.0224615385,1424.84615385,44.4093846154,52.8275435909,65,3526
11369,-73.872533521,40.7681037006,11.9197005988,1481.16167665,37.0886227545,44.1190719542,167,4546
11371,-73.8698488454,40.7720942327,12.3319524847,1582.3653906,36.1017854549,42.9451716421,9639,3932
11372,-73.8884883793,40.7499201034,12.9268275862,1500.4,38.0328275862,45.2422584685,145,2891
11373,-73.878934576,40.73627122,11.64636,1533.5,44.4564,52.8834711229,250,2632
11374,-73.8624821967,40.7304063443,10.4463934426,1285.57377049,38.1314754098,45.359605787,122,2358
11375,-73.841735095,40.7242428179,8.58506596306,1097.93403694,37.4094722955,44.5007411276,379,2434
11377,-73.9067666044,40.7452723901,13.9253021978,1702.96153846,42.598021978,50.672822477,364,2413
11378,-73.907172934,40.728592231,13.1650165017,1767.99669967,55.0511881188,65.4865872442,303,4522
11379,-73.8728475556,40.7239511667,10.0383333333,1830.16666667,47.7022222222,56.7445652682,18,3143
11385,-73.8855625714,40.7052168095,11.7352380952,1723.14285714,38.7138095238,46.0523260545,21,3843
11411,-73.74045125,40.69078,6.16,772.25,19.875,23.642467419,4,3671
11413,-73.7502115714,40.6661943333,6.90857142857,969.142857143,23.2933333333,27.7087735554,21,2317
11414,-73.8450774167,40.6663359583,5.82083333333,555.583333333,36.2766666667,43.1532030057,24,3694
11415,-73.8276705877,40.7113784211,6.80526315789,838.333333333,25.860877193,30.7630161742,114,2230
11416,-73.8532197692,40.6833393846,9.01,1236.30769231,42.5630769231,50.6312533036,13,3101
11417,-73.8443223488,40.6767526279,6.95441860465,1011.93023256,31.5379069767,37.5161729893,43,2376
11418,-73.8192538056,40.70057775,6.18375,683.333333333,31.2608333333,37.18657779,72,2109
11419,-73.8165400704,40.6911283521,5.88211267606,654.267605634,32.3284507042,38.456570691,71,2338
11420,-73.8073923542,40.6719495625,4.71307291667,598.78125,37.1886979167,44.2381171749,192,1888
11421,-73.8549152,40.6947006,6.828,1022.8,42.93,51.0677296251,5,2390
11422,-73.7415839286,40.6479237857,6.51,983.142857143,21.6664285714,25.7734758031,14,
11426,-73.726034,40.723554,15.3,2142.0,52.5,62.4518007296,1,3893
11427,-73.7468038333,40.7274906667,10.2016666667,1157.33333333,30.5,36.2815223286,6,3547
11430,-73.7849864611,40.6455792486,2.36143029925,345.300027311,26.3388412469,31.3315821905,25631,1166
11432,-73.7970263529,40.7113398627,7.33176470588,1026.50980392,24.421372549,29.0506417519,51,2299
11433,-73.794242,40.696396,5.925,847.5,19.625,23.3450778918,4,2544
11434,-73.7800878235,40.6682908824,3.24308823529,474.602941176,12.3014705882,14.6333140925,68,3089
11435,-73.8149917741,40.7015781717,6.67493975904,832.918674699,40.7463253012,48.4701216795,332,2116
11436,-73.7997495569,40.6722034551,6.20952095808,1073.53293413,37.8450299401,45.0188622557,167,2633
11691,-73.7480925,40.603232,13.925,1650.0,41.415,49.2655490898,2,3377
,-55.9013628137,30.7968380754,16.9441713483,2310.9747191,53.2843843633,63.3848715096,4272,
