,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
4210,DAL1386,,1465659900.0,1465668060.0,KATL,KLGA,MD90,First: Lunch / Economy: Lunch,16.0,0.0,144.0
4211,WJA7223,DAL1635,1465670400.0,1465680600.0,KMCO,KLGA,A320,,12.0,0.0,138.0
4212,SWA5812,,1465685100.0,1465693500.0,KATL,KLGA,B737,,0.0,0.0,143.0
4213,AAL2285,,1465684200.0,1465694040.0,KMCO,KLGA,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
4214,ACA702,,1465647300.0,1465652940.0,CYYZ,KLGA,A320,Business: Breakfast / Economy: No meal,0.0,14.0,132.0
4215,WJA6505,DAL2486,1465649100.0,1465657440.0,KATL,KLGA,MD90,,16.0,0.0,144.0
4216,WJA6800,GJS6198,1465651200.0,1465656540.0,KPWM,KLGA,CRJ7,,9.0,0.0,56.0
4217,EAQ4397,AAL1170,1465681500.0,1465694220.0,KDFW,KLGA,,First: Meal / Business: Meal / Economy: Food for sale,10.0,20.0,72.0
4218,JBU672,,1465680900.0,1465691940.0,KFLL,KLGA,A320,,0.0,0.0,150.0
4219,DAL237,,1465655100.0,1465664880.0,KMCO,KLGA,MD90,First: Lunch / Economy: Lunch,16.0,0.0,144.0
4220,WJA6415,GJS6300,1465667700.0,1465672980.0,KPWM,KLGA,CRJ7,,9.0,0.0,56.0
4221,SWA5776,,1465677000.0,1465684500.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4222,QFA4397,AAL1170,1465681500.0,1465694220.0,KDFW,KLGA,,First: Meal / Business: Meal / Economy: Food for sale,10.0,20.0,72.0
4223,AAL138,,1465686600.0,1465699200.0,KDFW,KLGA,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
4224,WJA6506,DAL1186,1465652700.0,1465661040.0,KATL,KLGA,MD90,,16.0,0.0,144.0
4225,DAL2276,,1465641900.0,1465651620.0,KMCO,KLGA,MD88,First: Breakfast / Economy: Breakfast,16.0,0.0,133.0
4226,DAL525,,1465661820.0,1465671600.0,KMCO,KLGA,MD88,First: Lunch / Economy: Lunch,16.0,0.0,133.0
4227,AAL1740,,1465682700.0,1465689600.0,KCLT,KLGA,A319,,8.0,0.0,120.0
4228,DAL1058,,1465679460.0,1465689840.0,KMCO,KLGA,MD88,First: Dinner / Economy: Dinner,16.0,0.0,133.0
4229,AAL2068,,1465669560.0,1465676040.0,KCLT,KLGA,A319,,8.0,0.0,120.0
4230,ACA714,,1465669500.0,1465675140.0,CYYZ,KLGA,A321,Business: Snack or brunch / Economy: No meal,0.0,20.0,154.0
4231,WJA6766,TCF3291,1465650000.0,1465656600.0,KCMH,KLGA,E170,,9.0,0.0,60.0
4232,JBU1472,,1465690740.0,1465701300.0,KFLL,KLGA,A320,,0.0,0.0,150.0
4233,DAL1526,,1465647840.0,1465657620.0,KMCO,KLGA,A320,First: Breakfast / Economy: Breakfast,12.0,0.0,138.0
4234,SWA1266,,1465684500.0,1465692600.0,KSTL,KLGA,B737,,0.0,0.0,143.0
4235,AAL262,,1465689900.0,1465702620.0,KDFW,KLGA,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
4236,DAL3738,FLG3738,1465644480.0,1465649700.0,KPWM,KLGA,CRJ9,,0.0,12.0,64.0
4237,ACA728,,1465691400.0,1465696740.0,CYYZ,KLGA,E190,,0.0,9.0,88.0
4238,WJA6607,FLG3835,1465655400.0,1465668540.0,KIAH,KLGA,CRJ9,,0.0,12.0,64.0
4239,ASA1006,AAL352,1465685100.0,1465693080.0,KORD,KLGA,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
4240,ACA724,,1465688700.0,1465694220.0,CYYZ,KLGA,E190,Business: Snack or brunch / Economy: No meal,0.0,9.0,88.0
4241,DAL1635,,1465670400.0,1465680600.0,KMCO,KLGA,A320,First: Refreshments / Economy: Refreshments,12.0,0.0,138.0
4242,SWA1686,,1465682700.0,1465690200.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4243,JBU198,,1465639200.0,1465648620.0,KMCO,KLGA,A320,,0.0,0.0,150.0
4244,ANZ6539,UAL1777,1465689060.0,1465702200.0,KIAH,KLGA,A320,First: Dinner / Economy: Food for sale,12.0,0.0,138.0
4245,ACA716,,1465672200.0,1465677720.0,CYYZ,KLGA,E190,Business: Snack or brunch / Economy: No meal,0.0,9.0,88.0
4246,SWA5178,,1465689300.0,1465696800.0,KMDW,KLGA,B737,,0.0,0.0,143.0
4247,DAL6198,GJS6198,1465651200.0,1465656540.0,KPWM,KLGA,CRJ7,,9.0,0.0,56.0
4248,VIR2609,DAL2386,1465694400.0,1465702800.0,KATL,KLGA,B739,First: Refreshments / Economy: No meal,20.0,0.0,160.0
4249,JBU298,,1465653600.0,1465662960.0,KMCO,KLGA,A320,,0.0,0.0,150.0
4250,JBU398,,1465664880.0,1465674300.0,KMCO,KLGA,A320,,0.0,0.0,150.0
