,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
3629,KLM6913,TCF3391,1465419540.0,1465426200.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3630,VIR4736,TCF3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3631,VIR5895,TCF3391,1465419540.0,1465426200.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3632,VIR4858,DAL420,1465402500.0,1465410780.0,KATL,KJFK,B738,First: Lunch / Economy: No meal,16.0,0.0,144.0
3633,AFR2685,TCF3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3634,AFR8827,TCF3391,1465419540.0,1465426200.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3635,AZA3220,BTI3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3636,AZA3219,BTI3391,1465419540.0,1465426200.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3637,DAL3779,FLG3779,1465379400.0,1465385400.0,KCLE,KJFK,CRJ9,,0.0,12.0,64.0
3638,CES4197,FLG3836,1465389660.0,1465395900.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3639,KLM6237,DAL741,1465405200.0,1465421940.0,KSLC,KJFK,B738,First: Food for sale / Economy: Food for sale,16.0,0.0,144.0
3640,DAL3295,TCF3295,1465402500.0,1465408740.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3641,DAL3391,TCF3391,1465419540.0,1465426200.0,KCLE,KJFK,E135,,0.0,0.0,50.0
3642,AAL4432,RPA4432,1465404600.0,1465410780.0,KCLE,KJFK,E170,,12.0,0.0,64.0
3643,QTR4142,JBU162,1465452480.0,1465471740.0,KSMF,KJFK,A320,,0.0,0.0,150.0
3644,KLM5298,FLG4026,1465413600.0,1465420380.0,KDTW,KJFK,CRJ9,,0.0,12.0,64.0
3645,ELY8735,JBU670,1465451820.0,1465471740.0,KSJC,KJFK,A320,Economy: No meal,0.0,0.0,150.0
3646,UAE6154,JBU670,1465451820.0,1465471740.0,KSJC,KJFK,A320,,0.0,0.0,150.0
3647,QTR4134,JBU670,1465451820.0,1465471740.0,KSJC,KJFK,A320,,0.0,0.0,150.0
