terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
B,10010,1.68285912561,9.61487161693,2068.98854962,0.0,2882
B,10011,1.73765517241,10.4627006897,2516.192,0.0,3625
B,10012,1.70487106017,10.7733008596,2174.91232092,0.0,1745
B,10013,1.71534820825,11.9310615281,2548.91413117,0.0,2958
B,10014,1.71804511278,11.2360855263,2510.26268797,0.0,2128
B,10016,1.75286458333,8.91851041667,1851.56497396,0.0,7680
B,10017,1.70266907939,9.36616037096,2000.88565935,0.0,8842
B,10018,1.82418162619,9.63787222809,2590.78704681,0.0,5682
B,10019,1.8032369146,10.3376143251,2589.73106061,0.0,14520
B,10020,1.784375,10.10271875,2456.70625,0.0,320
B,10021,1.73209647495,8.82881261596,1634.99369202,0.0,2695
B,10022,1.74550898204,9.58823559777,2065.02632666,0.0,9686
B,10023,1.75988168863,10.2081957515,2249.24173165,0.0,3719
B,10024,1.76601941748,9.56766666667,2015.52006472,0.0,3090
B,10025,1.67378573889,8.82447468136,1955.5304857,0.0,2903
B,10026,1.77396280401,7.51809728183,1521.29041488,0.0,699
B,10027,1.735,7.44419166667,1597.31833333,0.0,1200
B,10028,1.74315789474,8.21937263158,1600.38694737,0.0,2375
B,10029,1.70699588477,7.48027983539,1437.00493827,0.0,1215
B,10030,1.65789473684,7.50082706767,1289.96616541,0.0,266
B,10031,1.67697063369,8.26035548686,1539.85162287,0.0,647
B,10032,1.6977124183,9.51529411765,1895.73529412,0.0,612
B,10033,1.73265651438,9.8476142132,1907.43993232,0.0,591
B,10034,1.67293233083,10.9762406015,1686.45864662,0.0,266
B,10035,2.0,7.57125,1456.375,0.0,56
B,10036,1.85550097321,10.1292686996,2662.13791825,0.0,10789
B,10037,1.74358974359,6.9402991453,1125.67094017,0.0,234
B,10038,1.72564469914,12.9875143266,2332.70845272,0.0,1396
B,10039,1.70769230769,8.07292307692,1408.27179487,0.0,195
B,10040,1.74496644295,10.467885906,1687.59731544,0.0,298
B,10041,1.5,13.777,2437.5,0.0,10
B,10043,1.2,13.63,2265.2,0.0,5
B,10044,1.65073529412,5.62886029412,1499.52941176,0.0,272
B,10045,1.25,13.6090625,2438.59375,0.0,32
B,10047,1.0,9.5325,2535.0,0.0,4
B,10048,1.90839694656,14.2007633588,2419.41221374,0.0,131
