terminal,zipcode,passenger_count,trip_distance,duration,total_ex_tip,N
B,10069,1.64161849711,10.6201156069,2463.43352601,0.0,173
B,10075,1.65237543453,8.4190382387,1255.96523754,0.0,863
B,10096,1.5,9.56285714286,2001.35714286,0.0,14
B,10097,1.95833333333,10.5604166667,2248.83333333,0.0,48
B,10103,2.33333333333,9.83,2056.88888889,0.0,18
B,10104,2.18181818182,10.2167272727,1970.8,0.0,55
B,10105,1.83333333333,9.98522222222,2088.32222222,0.0,90
B,10106,1.69444444444,10.1816666667,4394.11111111,0.0,36
B,10107,1.58333333333,10.0566666667,2322.66666667,0.0,12
B,10110,1.4,9.977,1913.3,0.0,10
B,10111,1.74137931034,10.1825862069,2090.06896552,0.0,58
B,10112,1.62711864407,9.84152542373,2249.71186441,0.0,59
B,10115,1.0,7.605,1991.75,0.0,4
B,10118,1.52173913043,9.16869565217,1943.43478261,0.0,23
B,10119,2.30434782609,10.187826087,2140.0,0.0,23
B,10120,1.0,8.8,2161.0,0.0,1
B,10121,1.70935960591,10.1085714286,1983.91625616,0.0,203
B,10122,2.33333333333,9.33666666667,1763.33333333,0.0,3
B,10123,2.33333333333,9.68333333333,2457.66666667,0.0,3
B,10128,1.67821067821,7.80502645503,1120.84800385,0.0,2079
B,10151,1.0,10.1671428571,2499.85714286,0.0,7
B,10152,1.66666666667,9.48411764706,1934.96078431,0.0,51
B,10153,1.6,9.2844,1881.08,0.0,25
B,10154,1.89411764706,9.66952941176,2689.87058824,0.0,85
B,10162,1.0,8.27,1114.66666667,0.0,3
B,10165,1.51612903226,9.50580645161,1543.51612903,0.0,31
B,10166,2.0303030303,9.70909090909,1555.36363636,0.0,33
B,10167,2.08,9.8982,3515.1,0.0,50
B,10168,1.63513513514,10.2181081081,1558.43243243,0.0,74
B,10169,1.9,9.28466666667,1815.0,0.0,30
B,10170,1.62222222222,9.71644444444,1564.48888889,0.0,45
B,10171,1.69444444444,9.67944444444,1815.05555556,0.0,36
B,10172,1.82432432432,9.80216216216,1600.33783784,0.0,74
B,10173,2.09090909091,9.99727272727,1702.45454545,0.0,11
B,10174,1.5,9.47769230769,1517.96153846,0.0,52
B,10175,1.4,9.80666666667,1730.53333333,0.0,15
B,10176,1.4,9.472,2180.2,0.0,5
B,10178,1.33333333333,9.03694444444,1595.30555556,0.0,36
B,10203,1.6,13.976,3026.0,0.0,5
B,10275,1.2,14.664,2108.4,0.0,5
B,10280,1.64128256513,14.1243086172,2245.05811623,0.0,499
B,10281,1.82532751092,14.3728820961,2324.72489083,0.0,229
B,10282,1.70808678501,14.3855424063,2375.21301775,0.0,507
B,10285,1.39130434783,14.03,2308.95652174,0.0,23
B,10451,1.33333333333,7.72833333333,978.666666667,0.0,12
B,10452,2.2,8.548,944.6,0.0,5
B,10453,1.5,10.32,1008.0,0.0,2
B,10454,1.88888888889,6.01777777778,802.444444444,0.0,9
B,10455,1.0,6.89,1130.0,0.0,1
B,10456,6.0,8.15,843.0,0.0,1
B,10458,1.0,12.55,1375.5,0.0,2
B,10461,1.0,12.34,1634.0,0.0,2
B,10462,2.66666666667,9.8,1153.33333333,0.0,3
B,10467,1.0,12.9,1669.0,0.0,1
B,10471,1.0,11.5,851.0,0.0,1
B,10472,3.5,8.875,1280.5,0.0,2
B,11101,1.54893617021,5.81334042553,1340.78085106,0.0,470
B,11102,1.63636363636,3.32779220779,556.928571429,0.0,154
B,11103,1.60526315789,3.08914473684,482.059210526,0.0,152
B,11104,1.48672566372,5.02663716814,1632.39823009,0.0,113
B,11105,1.6835443038,3.23987341772,609.379746835,0.0,79
B,11106,1.89772727273,3.96539772727,1595.4375,0.0,176
B,11109,1.6,7.305,990.8,0.0,10
B,11201,1.594,10.26928,1459.462,0.0,500
B,11203,1.5,14.0,2696.5,0.0,2
B,11204,1.0,8.7,1279.0,0.0,1
B,11205,1.39285714286,9.0625,1419.39285714,0.0,28
B,11206,1.73913043478,7.76695652174,1281.60869565,0.0,23
B,11207,3.0,12.005,1536.0,0.0,2
B,11208,1.0,9.2,1537.0,0.0,1
B,11210,1.5,17.7,2582.5,0.0,2
B,11211,1.66055045872,7.65064220183,1400.48623853,0.0,109
B,11213,1.2,12.808,2572.4,0.0,5
B,11215,1.76470588235,12.0852941176,1778.58823529,0.0,34
B,11216,2.15,10.7335,1658.65,0.0,20
B,11217,1.59615384615,10.6541346154,2450.95192308,0.0,104
B,11218,1.71428571429,15.1357142857,1803.28571429,0.0,7
B,11219,1.0,16.0,3428.0,0.0,1
B,11221,1.61538461538,10.2253846154,1998.69230769,0.0,13
B,11222,1.49056603774,7.07320754717,1066.86792453,0.0,53
B,11223,1.0,23.05,1833.0,0.0,1
B,11225,2.125,12.45875,1803.5,0.0,8
B,11226,1.83333333333,13.4366666667,2525.83333333,0.0,6
B,11229,1.0,10.4,1503.0,0.0,1
B,11230,1.5,14.515,1925.0,0.0,4
B,11232,2.28571428571,13.57,2139.28571429,0.0,7
B,11233,2.66666666667,11.3566666667,1638.0,0.0,3
B,11235,2.5,16.67,1693.5,0.0,2
B,11236,1.0,11.1,1133.0,0.0,1
